OFNS_DESC,Latitude,Longitude
PETIT LARCENY,40.527504836,-74.168722057
ASSAULT 3 & RELATED OFFENSES,40.573581014,-74.09233188600001
HARRASSMENT 2,40.632324554,-74.119801635
CRIMINAL MISCHIEF & RELATED OF,40.60371584,-74.132062991
HARRASSMENT 2,40.60987587,-74.088402335
INTOXICATED & IMPAIRED DRIVING,40.640050478,-74.100426603
THEFT-FRAUD,40.609814512,-74.127439816
HARRASSMENT 2,40.611357078000005,-74.132308614
MISCELLANEOUS PENAL LAW,40.612994644000004,-74.133241112
ASSAULT 3 & RELATED OFFENSES,40.641516276,-74.083129396
FORGERY,40.623848889,-74.081979859
HARRASSMENT 2,40.590310081999995,-74.0963012
OFF. AGNST PUB ORD SENSBLTY &,40.575495801,-74.10629069699999
CRIMINAL MISCHIEF & RELATED OF,40.618792931,-74.082049292
GRAND LARCENY,40.633575835,-74.14181739899999
HARRASSMENT 2,40.621351808,-74.163581186
MISCELLANEOUS PENAL LAW,40.586925774,-74.092926393
INTOXICATED & IMPAIRED DRIVING,40.631737239,-74.124894893
CRIMINAL MISCHIEF & RELATED OF,40.617747448,-74.134259163
ASSAULT 3 & RELATED OFFENSES,40.583668959,-74.159291079
CRIMINAL TRESPASS,40.615423403,-74.08435035699999
GRAND LARCENY,40.623427985999996,-74.083301392
GRAND LARCENY,40.630551525,-74.078248488
PETIT LARCENY,40.582301992,-74.168936095
PETIT LARCENY,40.595365808000004,-74.086179432
PETIT LARCENY,40.636693715,-74.14636024800001
INTOXICATED & IMPAIRED DRIVING,40.574285688,-74.105914405
HARRASSMENT 2,40.613268046,-74.06418133300001
HARRASSMENT 2,40.617175006,-74.090991019
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,40.620396907,-74.08443589
DANGEROUS DRUGS,40.610724472,-74.084131923
HARRASSMENT 2,40.55268694,-74.13692087
PETIT LARCENY,40.626858064000004,-74.163443377
HARRASSMENT 2,40.618602603,-74.1608693
HARRASSMENT 2,40.594786154,-74.125470316
INTOXICATED & IMPAIRED DRIVING,40.57210544,-74.11807023
ARSON,40.511461196,-74.238442445
UNAUTHORIZED USE OF A VEHICLE,40.635450378,-74.170245212
MISCELLANEOUS PENAL LAW,40.644024148,-74.07646257399999
CRIMINAL MISCHIEF & RELATED OF,40.60947742,-74.08537289
OFFENSES AGAINST THE PERSON,40.594543295,-74.077151269
HARRASSMENT 2,40.63799816,-74.085910212
CRIMINAL TRESPASS,40.614782068000004,-74.083049279
HARRASSMENT 2,40.636256697,-74.07601410699999
HARRASSMENT 2,40.636777805,-74.128846053
HARRASSMENT 2,40.618602603,-74.1608693
ASSAULT 3 & RELATED OFFENSES,40.618792931,-74.082049292
ASSAULT 3 & RELATED OFFENSES,40.631240921999996,-74.116586045
HARRASSMENT 2,40.594786154,-74.125470316
PETIT LARCENY,40.646678587,-74.084000685
CRIMINAL MISCHIEF & RELATED OF,40.626179658000005,-74.13408879800001
INTOXICATED & IMPAIRED DRIVING,40.63701270000001,-74.18068725100001
FELONY ASSAULT,40.58692579,-74.16408371600001
PETIT LARCENY,40.611272817,-74.088602276
OFF. AGNST PUB ORD SENSBLTY &,40.642679746999995,-74.083570455
HARRASSMENT 2,40.644752079,-74.087241382
VEHICLE AND TRAFFIC LAWS,40.570475028000004,-74.109763388
PETIT LARCENY,40.565183394,-74.115009492
ASSAULT 3 & RELATED OFFENSES,40.551478775,-74.150441336
PETIT LARCENY,40.618184532,-74.155512062
CRIMINAL MISCHIEF & RELATED OF,40.636754618000005,-74.134708152
CRIMINAL MISCHIEF & RELATED OF,40.548340533,-74.155255955
INTOXICATED & IMPAIRED DRIVING,40.623034576,-74.08454009
CRIMINAL MISCHIEF & RELATED OF,40.645337665,-74.102711974
MISCELLANEOUS PENAL LAW,40.608100409,-74.067550959
PETIT LARCENY,40.601733501999995,-74.19270245199999
OFFENSES AGAINST PUBLIC ADMINI,40.63597097,-74.16136514899999
FELONY ASSAULT,40.626858064000004,-74.163443377
CRIMINAL MISCHIEF & RELATED OF,40.527595098,-74.191657765
FRAUDS,40.591920374000004,-74.075481153
PETIT LARCENY,40.612506806,-74.166372465
PETIT LARCENY,40.623226819,-74.149226973
HARRASSMENT 2,40.64173826,-74.075678037
GRAND LARCENY,40.566504888000004,-74.113762828
ASSAULT 3 & RELATED OFFENSES,40.637299061,-74.13387333899999
PETIT LARCENY,40.625549482,-74.118042293
HARRASSMENT 2,40.62481252,-74.12703976899999
PETIT LARCENY,40.638292473,-74.088706612
INTOXICATED & IMPAIRED DRIVING,40.574140128,-74.106007765
